Date TempAvgFHumidity AvgPercent VisibilityAvgMiles WindAvgMPH DailyIncome
2014-06-14,92.0,77.0,-,6.0,65.0
2014-09-01,90.0,62.0,10.0,8.0,61.2
2015-08-08,90.0,66.0,10.0,10.0,62.2
2015-08-09,89.0,65.0,-,-,65.4
2015-08-11,90.0,-,-,-,63.7
2015-09-05,90.0,62.0,10.0,7.0,61.1
2016-06-12,86.0,74.0,10.0,6.0,61.4
2016-06-13,85.0,76.0,10.0,5.0,61.2
2016-06-17,87.0,70.0,10.0,6.0,61.1
2016-06-25,83.0,81.0,10.0,5.0,61.2
2016-07-03,88.0,67.0,10.0,8.0,61.2
2016-07-04,90.0,62.0,10.0,8.0,61.2
2016-07-06,90.0,68.0,10.0,8.0,62.4
2016-07-07,89.0,64.0,10.0,9.0,61.2
2016-07-08,90.0,64.0,10.0,7.0,61.5
2016-07-09,89.0,65.0,10.0,7.0,61.2
2016-07-12,89.0,64.0,10.0,9.0,61.2
2016-07-13,91.0,64.0,10.0,8.0,62.1
2016-07-14,89.0,64.0,10.0,8.0,61.1
2016-07-15,90.0,62.0,10.0,7.0,61.1
2016-07-24,90.0,64.0,10.0,5.0,61.3
2016-07-30,87.0,71.0,10.0,5.0,61.2
2016-08-05,89.0,67.0,10.0,5.0,61.4
2016-08-07,89.0,65.0,10.0,6.0,61.1
2016-08-09,91.0,66.0,10.0,6.0,62.3
2016-08-10,92.0,64.0,10.0,5.0,62.3
2016-08-11,90.0,64.0,10.0,5.0,61.3
2016-08-12,92.0,63.0,10.0,5.0,62.1
2016-08-13,87.0,73.0,10.0,3.0,61.4
2016-09-06,86.0,79.0,10.0,6.0,62.4
2016-09-07,87.0,75.0,10.0,6.0,62.1
2016-09-24,87.0,72.0,10.0,5.0,61.4
2017-06-23,91.0,63.0,10.0,7.0,61.8
2017-06-30,89.0,64.0,10.0,8.0,61.1
2017-07-25,91.0,61.0,10.0,7.0,61.4
