Date TempAvgFHumidity AvgPercent VisibilityAvgMiles WindAvgMPH DailyIncome
2013-12-21,60.0,75.0,7.0,4.0,47.5
2013-12-22,48.0,68.0,10.0,6.0,41.2
2013-12-23,45.0,52.0,10.0,3.0,36.2
2013-12-24,46.0,56.0,10.0,4.0,37.6
2013-12-25,50.0,71.0,10.0,2.0,42.4
2013-12-26,48.0,63.0,9.0,3.0,39.6
2013-12-27,53.0,65.0,9.0,1.0,42.3
2013-12-28,51.0,64.0,10.0,2.0,41.5
2013-12-29,50.0,76.0,10.0,5.0,43.7
2013-12-30,40.0,60.0,10.0,5.0,35.5
2013-12-31,46.0,54.0,10.0,1.0,36.9
2014-01-01,54.0,68.0,10.0,4.0,44.0
2014-01-02,44.0,55.0,10.0,8.0,36.8
2014-01-03,43.0,49.0,10.0,4.0,34.7
2014-01-04,57.0,68.0,10.0,7.0,45.8
2014-01-05,47.0,59.0,10.0,10.0,39.3
2014-01-06,29.0,38.0,10.0,7.0,25.8
2014-01-07,35.0,43.0,10.0,5.0,29.6
2014-01-08,47.0,75.0,2.0,1.0,39.2
2014-01-09,62.0,80.0,4.0,3.0,48.5
2014-01-10,65.0,81.0,8.0,6.0,51.7
2014-01-11,62.0,53.0,9.0,3.0,44.6
2014-01-12,57.0,68.0,10.0,4.0,45.5
2014-01-13,57.0,51.0,9.0,7.0,42.1
2014-01-14,57.0,41.0,10.0,5.0,40.2
2014-01-15,52.0,35.0,10.0,4.0,36.4
2014-01-16,56.0,38.0,10.0,4.0,39.0
2014-01-17,54.0,31.0,10.0,5.0,36.7
2014-01-18,54.0,45.0,10.0,2.0,39.2
2014-01-19,59.0,39.0,10.0,3.0,40.6
2014-01-20,64.0,44.0,10.0,5.0,44.3
2014-01-21,51.0,39.0,10.0,6.0,36.9
2014-01-22,54.0,45.0,10.0,4.0,39.4
2014-01-23,42.0,64.0,8.0,9.0,37.1
2014-01-24,33.0,60.0,9.0,5.0,31.7
2014-01-25,48.0,53.0,10.0,1.0,37.7
2014-01-26,60.0,52.0,10.0,3.0,43.7
2014-01-27,47.0,44.0,10.0,9.0,36.2
2014-01-28,33.0,48.0,10.0,6.0,29.7
2014-01-29,38.0,42.0,10.0,5.0,30.9
2014-01-30,48.0,64.0,10.0,7.0,40.5
2014-01-31,68.0,64.0,10.0,9.0,50.7
2014-02-01,66.0,71.0,10.0,6.0,50.8
2014-02-02,45.0,69.0,8.0,11.0,39.8
2014-02-03,40.0,74.0,6.0,6.0,37.2
2014-02-04,53.0,68.0,6.0,2.0,42.1
2014-02-05,40.0,60.0,10.0,10.0,36.0
2014-02-06,29.0,54.0,10.0,8.0,29.1
2014-02-07,34.0,68.0,7.0,3.0,33.0
2014-02-08,51.0,63.0,7.0,5.0,40.7
2014-02-09,59.0,70.0,5.0,4.0,45.4
2014-02-10,48.0,74.0,8.0,9.0,42.1
2014-02-11,35.0,80.0,5.0,9.0,35.9
2014-02-12,45.0,57.0,9.0,5.0,37.1
2014-02-13,51.0,58.0,10.0,4.0,40.5
2014-02-14,67.0,51.0,10.0,6.0,47.3
2014-02-15,59.0,43.0,10.0,5.0,41.6
2014-02-16,68.0,74.0,5.0,5.0,50.8
2014-02-17,70.0,52.0,8.0,5.0,48.3
2014-02-18,69.0,55.0,10.0,4.0,48.9
2014-02-19,73.0,70.0,9.0,7.0,53.9
2014-02-20,70.0,48.0,9.0,8.0,48.1
2014-02-21,57.0,43.0,10.0,5.0,40.6
2014-02-22,63.0,53.0,10.0,6.0,45.7
2014-02-23,74.0,57.0,10.0,4.0,51.8
